thold | t0 | tdiff | zeta | trend |
40000 | 139746 | 355361 | 1.3738806816167224 | saturating |
40000 | 199230 | 97390 | 10.189083299106684 | saturating |
20000 | 248102 | 182011 | 16.9095830482773 | saturating |
20000 | 128932 | 415307 | 2.001346067367032 | saturating |
40000 | 267265 | 136150 | 13.116155017443997 | saturating |
20000 | 196377 | 161543 | 11.936117977566344 | saturating |
40000 | 76799 | 122448 | 1.2042022738223572 | saturating |
20000 | 270099 | 318766 | 11.443107138308351 | saturating |
10000 | 96096 | 129280 | 7.142977425742575 | saturating |
10000 | 297468 | 132269 | 66.8994329918575 | saturating |
10000 | 10367 | 172895 | 0.062161825963735214 | inverse |
20000 | 293798 | 348114 | 12.397844499790299 | saturating |
20000 | 152104 | 220961 | 5.235228573368151 | saturating |
40000 | 147468 | 294142 | 1.84832589565584 | saturating |
20000 | 98727 | 183410 | 2.657167147102121 | saturating |
40000 | 64150 | 403141 | 0.2551974681314974 | inverse |
10000 | 248372 | 376877 | 16.368377583137203 | saturating |
10000 | 250089 | 113938 | 54.89345777615896 | saturating |
20000 | 96976 | 180274 | 2.6083474533210556 | saturating |
40000 | 40057 | 397677 | 0.10087101146156302 | inverse |
40000 | 53608 | 95389 | 0.7531837172000965 | saturating |
10000 | 279936 | 51443 | 152.33202592383805 | saturating |
40000 | 213647 | 352475 | 3.237466530179445 | saturating |
40000 | 80858 | 422071 | 0.3872580776693969 | inverse |
40000 | 104592 | 115097 | 2.376145004648253 | saturating |
40000 | 256975 | 184443 | 8.950753162901277 | saturating |
40000 | 83114 | 249769 | 0.6914325833069758 | saturating |
20000 | 71356 | 251027 | 1.014169538734877 | saturating |
20000 | 28805 | 294184 | 0.1410219496981481 | inverse |
40000 | 60550 | 242309 | 0.3782672641131778 | inverse |
40000 | 227928 | 228954 | 5.672664944049896 | saturating |
20000 | 297725 | 280399 | 15.806079127421995 | saturating |
20000 | 212315 | 371078 | 6.073879241695816 | saturating |
10000 | 296156 | 85271 | 102.85838835712025 | saturating |
10000 | 249139 | 269215 | 23.05601148561559 | saturating |
10000 | 182316 | 84398 | 39.38378143557904 | saturating |
40000 | 249632 | 363514 | 4.285676440522236 | saturating |
40000 | 182243 | 263398 | 3.152312379839634 | saturating |
10000 | 49372 | 285406 | 0.8540795862735892 | inverse |
40000 | 85096 | 57127 | 3.168960918654927 | saturating |
10000 | 88791 | 306278 | 2.5740803064536135 | saturating |
40000 | 203100 | 344804 | 2.9908012958086334 | saturating |
10000 | 94345 | 398043 | 2.2361852927949997 | saturating |
40000 | 274642 | 82439 | 22.873951698831867 | saturating |
40000 | 62838 | 123597 | 0.7986873152260978 | saturating |
20000 | 98544 | 35766 | 13.575630397584298 | saturating |
10000 | 232299 | 269865 | 19.996229744872437 | saturating |
20000 | 176982 | 28479 | 54.99250030548826 | saturating |
40000 | 266345 | 227687 | 7.789164403874617 | saturating |
40000 | 289452 | 177284 | 11.814723875815076 | saturating |
20000 | 99767 | 48660 | 10.22755270139745 | saturating |
40000 | 193629 | 92317 | 10.153110922419488 | saturating |
40000 | 295509 | 369878 | 5.902322460446418 | saturating |
20000 | 279197 | 152023 | 25.637885322944555 | saturating |
10000 | 137352 | 383792 | 4.915571951473716 | saturating |
20000 | 63176 | 171626 | 1.1627629193711908 | saturating |
20000 | 78146 | 134420 | 2.2715359753012945 | saturating |
10000 | 180860 | 178934 | 18.280673097343154 | saturating |
10000 | 59196 | 16329 | 21.459773507257026 | saturating |
10000 | 18341 | 19201 | 1.751951882714442 | saturating |
40000 | 132458 | 130152 | 3.3701214280226193 | saturating |
10000 | 169002 | 141599 | 20.170817593344587 | saturating |
10000 | 278689 | 353892 | 21.94668393775502 | saturating |
20000 | 240348 | 374296 | 7.716775106332955 | saturating |
10000 | 257496 | 49089 | 135.06934347002382 | saturating |
40000 | 287049 | 314682 | 6.546063041499037 | saturating |
40000 | 92175 | 72048 | 2.9481146683461024 | saturating |
10000 | 287094 | 415481 | 19.837962466635055 | saturating |
40000 | 47105 | 311687 | 0.17797349785201177 | inverse |
20000 | 292539 | 118886 | 35.99207077410293 | saturating |
40000 | 64406 | 298761 | 0.3471113060272258 | inverse |
10000 | 21950 | 30680 | 1.5704123207301173 | saturating |
20000 | 177933 | 133131 | 11.890601170651463 | saturating |
40000 | 184639 | 292922 | 2.909610777015724 | saturating |
10000 | 260691 | 75301 | 90.25085653709777 | saturating |
10000 | 247713 | 107561 | 57.04830781510027 | saturating |
20000 | 102951 | 336970 | 1.5726783394664214 | saturating |
20000 | 209658 | 371187 | 5.921069025046675 | saturating |
